Crop,Rainfall,Water Source,Soil Type,Organic,Fertilizers Used,Climate,Season,Labor Availability,Yield
Grape,Medium,Bore,Loamy,Yes,"Urea, Potash",Temperate,Summer,High,76
Wheat,Medium,Other,Sandy,No,Potash,Temperate,Autumn,Low,21
Soybean,Medium,Other,Sandy,No,DAP,Tropical,Summer,Medium,46
Rice,Abundant,Rain,Silt,No,"DAP, Compost",Tropical,Summer,Low,59
Soybean,Medium,Rain,Loamy,No,Urea,Temperate,Summer,Medium,71
Maize,Less/No Rain,Rain,Loamy,No,"DAP, Compost",Temperate,Summer,High,22
Maize,Less/No Rain,Bore,Sandy,No,DAP,Dry,Spring,Medium,93
Wheat,Medium,Bore,Sandy,Yes,None,Temperate,Autumn,Low,50
Cotton,Abundant,Bore,Saline,Yes,"Urea, DAP, Potash",Tropical,Summer,High,93
Grape,Medium,Bore,Sandy,Yes,"Urea, Potash",Temperate,Spring,Low,80
Barley,Medium,Bore,Sandy,No,Urea,Temperate,Spring,Low,41
Sugarcane,Abundant,Other,Clay,No,Urea,Tropical,Summer,High,32
Wheat,Medium,Rain,Sandy,No,"DAP, Compost",Temperate,Autumn,Medium,38
Millet,Less/No Rain,Rain,Loamy,No,DAP,Dry,Summer,Medium,98
Barley,Medium,Rain,Sandy,No,Urea,Temperate,Spring,Low,49
Wheat,Medium,Rain,Sandy,Yes,Compost,Temperate,Autumn,Medium,40
Millet,Less/No Rain,Bore,Sandy,No,Urea,Dry,Summer,Medium,60
Turmeric,Abundant,Rain,Clay,No,None,Tropical,Autumn,High,87
Turmeric,Abundant,Rain,Clay,Yes,None,Tropical,Autumn,Low,39
Barley,Medium,Bore,Sandy,No,Compost,Temperate,Spring,Medium,67
Cotton,Abundant,Bore,Sandy,Yes,DAP,Dry,Summer,Medium,98
Grape,Medium,Other,Sandy,No,"Urea, DAP, Potash",Temperate,Spring,High,81
Soybean,Medium,Rain,Loamy,Yes,None,Temperate,Spring,Low,28
Sugarcane,Abundant,Other,Loamy,Yes,"Urea, Potash",Tropical,Spring,Low,25
Mango,Abundant,Other,Loamy,No,"DAP, Compost",Tropical,Summer,Medium,24
Mango,Abundant,Other,Sandy,Yes,"Urea, Potash",Tropical,Spring,Medium,86
Grape,Medium,Other,Sandy,Yes,"DAP, Compost",Temperate,Spring,Low,49
Turmeric,Abundant,Bore,Loamy,Yes,"DAP, Compost",Tropical,Autumn,Medium,88
Grape,Medium,Bore,Sandy,Yes,Compost,Tropical,Summer,Low,33
Wheat,Medium,Bore,Loamy,Yes,Urea,Temperate,Spring,High,93
Cotton,Abundant,Bore,Saline,No,None,Tropical,Summer,Medium,73
Sugarcane,Abundant,Other,Loamy,No,Urea,Tropical,Summer,Low,82
Sugarcane,Abundant,Bore,Loamy,No,"DAP, Compost",Tropical,Spring,Medium,72
Turmeric,Abundant,Other,Loamy,No,None,Tropical,Summer,High,66
Maize,Medium,Bore,Loamy,Yes,"DAP, Compost",Dry,Summer,High,33
Wheat,Medium,Other,Sandy,Yes,"DAP, Compost",Temperate,Autumn,High,24
Sugarcane,Abundant,Bore,Clay,Yes,"Urea, DAP, Potash",Tropical,Spring,Low,41
Wheat,Medium,Other,Sandy,No,"DAP, Compost",Temperate,Spring,High,69
Soybean,Medium,Rain,Loamy,No,None,Tropical,Spring,Low,59
Rice,Abundant,Bore,Silt,No,Compost,Tropical,Summer,High,92
Cotton,Abundant,Rain,Sandy,Yes,"Urea, Potash",Tropical,Summer,Medium,80
Maize,Less/No Rain,Rain,Sandy,Yes,"Urea, Potash",Dry,Summer,Medium,63
Wheat,Medium,Other,Loamy,No,"Urea, Potash",Temperate,Spring,Medium,64
Mango,Abundant,Other,Sandy,No,"Urea, Potash",Tropical,Spring,Medium,59
Barley,Medium,Rain,Sandy,No,Potash,Temperate,Spring,Low,26
Turmeric,Abundant,Other,Loamy,Yes,Potash,Tropical,Autumn,Medium,29
Barley,Medium,Rain,Loamy,Yes,Compost,Temperate,Spring,High,41
Sugarcane,Abundant,Bore,Clay,Yes,DAP,Tropical,Summer,Medium,60
Maize,Medium,Rain,Loamy,No,Urea,Temperate,Spring,Medium,46
Barley,Medium,Other,Sandy,No,None,Temperate,Spring,High,83
Barley,Medium,Rain,Sandy,Yes,"DAP, Compost",Temperate,Spring,Medium,73
Maize,Medium,Other,Loamy,No,Potash,Dry,Spring,Low,72
Cotton,Abundant,Rain,Saline,Yes,Urea,Tropical,Summer,Low,87
Millet,Less/No Rain,Rain,Loamy,No,"Urea, Potash",Dry,Summer,High,25
Cotton,Abundant,Other,Sandy,No,Urea,Tropical,Summer,Medium,47
Maize,Medium,Bore,Sandy,No,"Urea, Potash",Dry,Summer,High,76
Rice,Abundant,Bore,Clay,No,Potash,Tropical,Summer,High,50
Millet,Less/No Rain,Rain,Loamy,No,None,Dry,Summer,Medium,55
Mango,Abundant,Other,Loamy,No,"Urea, Potash",Tropical,Spring,Low,27
Soybean,Medium,Rain,Sandy,Yes,"Urea, DAP, Potash",Tropical,Summer,Low,38
Mango,Abundant,Rain,Sandy,No,Compost,Tropical,Summer,Medium,53
Grape,Medium,Bore,Sandy,Yes,"DAP, Compost",Tropical,Spring,Medium,48
Millet,Less/No Rain,Bore,Sandy,Yes,"Urea, DAP, Potash",Dry,Summer,High,74
Mango,Abundant,Other,Sandy,Yes,"Urea, DAP, Potash",Tropical,Summer,Medium,76
Turmeric,Abundant,Bore,Clay,Yes,DAP,Tropical,Autumn,High,53
Maize,Medium,Other,Loamy,Yes,"DAP, Compost",Temperate,Spring,Low,87
Barley,Medium,Rain,Sandy,Yes,Urea,Temperate,Spring,Low,74
Turmeric,Abundant,Other,Loamy,No,"DAP, Compost",Tropical,Autumn,Low,44
Turmeric,Abundant,Other,Loamy,No,None,Tropical,Autumn,Low,97
Rice,Abundant,Other,Silt,Yes,"DAP, Compost",Tropical,Summer,Medium,56
Barley,Medium,Bore,Sandy,No,Urea,Temperate,Spring,Low,71
Wheat,Medium,Bore,Sandy,No,"Urea, Potash",Temperate,Autumn,High,88
Barley,Medium,Other,Sandy,Yes,"Urea, DAP, Potash",Temperate,Spring,Low,46
Wheat,Medium,Bore,Loamy,Yes,"DAP, Compost",Temperate,Spring,High,23
Millet,Less/No Rain,Bore,Sandy,Yes,"Urea, Potash",Dry,Summer,Low,79
Millet,Less/No Rain,Bore,Loamy,Yes,"Urea, Potash",Dry,Summer,Medium,37
Maize,Medium,Other,Loamy,No,None,Dry,Summer,High,78
Soybean,Medium,Other,Sandy,Yes,Potash,Tropical,Summer,Medium,79
Millet,Less/No Rain,Rain,Loamy,Yes,DAP,Dry,Summer,Medium,23
Maize,Less/No Rain,Bore,Loamy,Yes,None,Dry,Spring,Medium,38
Millet,Less/No Rain,Bore,Sandy,No,"DAP, Compost",Dry,Summer,Low,93
Sugarcane,Abundant,Rain,Loamy,Yes,DAP,Tropical,Spring,High,72
Wheat,Medium,Rain,Sandy,Yes,"Urea, Potash",Temperate,Spring,Medium,38
Grape,Medium,Bore,Loamy,No,None,Tropical,Spring,Medium,38
Turmeric,Abundant,Bore,Loamy,No,Compost,Tropical,Summer,Low,30
Soybean,Medium,Other,Loamy,No,Compost,Tropical,Summer,Low,45
Rice,Abundant,Rain,Silt,No,DAP,Tropical,Summer,High,82
Cotton,Abundant,Other,Saline,No,Potash,Tropical,Summer,Low,83
Turmeric,Abundant,Other,Clay,No,"DAP, Compost",Tropical,Autumn,High,84
Rice,Abundant,Rain,Clay,No,Compost,Tropical,Summer,High,94
Grape,Medium,Rain,Loamy,Yes,DAP,Temperate,Summer,Medium,45
Barley,Medium,Bore,Sandy,Yes,"Urea, DAP, Potash",Temperate,Spring,Medium,69
Mango,Abundant,Bore,Loamy,Yes,"Urea, DAP, Potash",Tropical,Spring,Low,38
Sugarcane,Abundant,Rain,Loamy,No,DAP,Tropical,Spring,Low,56
Barley,Medium,Rain,Loamy,No,"Urea, Potash",Temperate,Spring,Medium,26
Mango,Abundant,Other,Sandy,No,None,Tropical,Summer,Low,87
Maize,Less/No Rain,Bore,Loamy,Yes,"Urea, Potash",Dry,Summer,Low,38
Sugarcane,Abundant,Other,Loamy,No,Compost,Tropical,Summer,Low,74
Rice,Abundant,Other,Clay,No,Potash,Tropical,Summer,Low,98
Sugarcane,Abundant,Other,Loamy,No,Potash,Tropical,Summer,Low,34
Barley,Medium,Bore,Sandy,No,"Urea, Potash",Temperate,Spring,High,41
Mango,Abundant,Bore,Sandy,Yes,"Urea, DAP, Potash",Tropical,Spring,High,77
Wheat,Medium,Bore,Loamy,Yes,DAP,Temperate,Spring,Low,30
Maize,Medium,Bore,Sandy,No,"Urea, DAP, Potash",Temperate,Spring,High,52
Wheat,Medium,Rain,Sandy,Yes,Urea,Temperate,Spring,High,72
Turmeric,Abundant,Rain,Clay,No,None,Tropical,Autumn,Low,47
Turmeric,Abundant,Rain,Loamy,Yes,Compost,Tropical,Summer,Low,44
Turmeric,Abundant,Other,Clay,No,Potash,Tropical,Autumn,High,43
Rice,Abundant,Bore,Silt,Yes,"Urea, Potash",Tropical,Summer,Low,20
Sugarcane,Abundant,Other,Loamy,Yes,"Urea, Potash",Tropical,Spring,High,77
Wheat,Medium,Rain,Loamy,No,Potash,Temperate,Spring,High,23
Barley,Medium,Other,Loamy,No,Compost,Temperate,Spring,Medium,90
Maize,Less/No Rain,Other,Sandy,No,"Urea, Potash",Dry,Spring,Medium,98
Mango,Abundant,Rain,Loamy,Yes,"Urea, DAP, Potash",Tropical,Summer,Medium,77
Soybean,Medium,Other,Loamy,No,"Urea, DAP, Potash",Tropical,Summer,High,86
Maize,Medium,Bore,Sandy,Yes,Urea,Temperate,Spring,Low,73
Millet,Less/No Rain,Bore,Loamy,Yes,Urea,Dry,Summer,Low,32
Mango,Abundant,Rain,Loamy,No,DAP,Tropical,Spring,Low,27
Wheat,Medium,Rain,Sandy,Yes,Potash,Temperate,Spring,High,94
Maize,Less/No Rain,Other,Loamy,Yes,"Urea, DAP, Potash",Dry,Spring,High,99
Rice,Abundant,Rain,Clay,Yes,"Urea, DAP, Potash",Tropical,Summer,Medium,56
Maize,Medium,Bore,Loamy,No,Potash,Dry,Summer,Low,21
Millet,Less/No Rain,Rain,Loamy,No,"Urea, DAP, Potash",Dry,Summer,Medium,21
Grape,Medium,Other,Sandy,No,Urea,Tropical,Summer,Medium,89
Barley,Medium,Other,Loamy,Yes,None,Temperate,Spring,Medium,40
Soybean,Medium,Rain,Loamy,Yes,"DAP, Compost",Tropical,Summer,Low,84
Maize,Less/No Rain,Rain,Sandy,Yes,Compost,Dry,Summer,Medium,73
Turmeric,Abundant,Bore,Loamy,Yes,"Urea, Potash",Tropical,Summer,Low,52
Grape,Medium,Bore,Loamy,No,"DAP, Compost",Tropical,Summer,Low,77
Cotton,Abundant,Bore,Sandy,No,None,Tropical,Summer,High,95
Turmeric,Abundant,Rain,Loamy,No,"Urea, DAP, Potash",Tropical,Autumn,High,58
Soybean,Medium,Other,Loamy,Yes,"Urea, DAP, Potash",Temperate,Summer,High,36
Millet,Less/No Rain,Bore,Sandy,No,Compost,Dry,Summer,High,61
Sugarcane,Abundant,Bore,Loamy,No,Potash,Tropical,Summer,Medium,78
Maize,Medium,Bore,Loamy,Yes,Urea,Temperate,Summer,Medium,79
Millet,Less/No Rain,Other,Sandy,Yes,Potash,Dry,Summer,Medium,91
Soybean,Medium,Bore,Loamy,Yes,"Urea, DAP, Potash",Temperate,Spring,High,97
Sugarcane,Abundant,Rain,Clay,Yes,Compost,Tropical,Summer,Low,49
Turmeric,Abundant,Rain,Loamy,Yes,Urea,Tropical,Autumn,Medium,38
Grape,Medium,Bore,Sandy,No,"Urea, DAP, Potash",Temperate,Spring,Low,35
Mango,Abundant,Bore,Loamy,Yes,"Urea, DAP, Potash",Tropical,Spring,Medium,87
Sugarcane,Abundant,Other,Loamy,No,Potash,Tropical,Spring,Low,83
Sugarcane,Abundant,Bore,Clay,No,Urea,Tropical,Summer,High,81
Millet,Less/No Rain,Bore,Sandy,No,Compost,Dry,Summer,Medium,41
Turmeric,Abundant,Other,Loamy,No,Urea,Tropical,Summer,Medium,73
Maize,Medium,Other,Loamy,Yes,"Urea, Potash",Dry,Spring,Low,49
Millet,Less/No Rain,Rain,Loamy,Yes,None,Dry,Summer,Medium,62
Sugarcane,Abundant,Other,Clay,No,Compost,Tropical,Spring,Medium,99
Mango,Abundant,Bore,Sandy,Yes,DAP,Tropical,Spring,Medium,60
Maize,Less/No Rain,Bore,Sandy,Yes,None,Temperate,Spring,High,82
Maize,Less/No Rain,Other,Loamy,No,Urea,Temperate,Spring,Medium,27
Soybean,Medium,Other,Loamy,Yes,Urea,Temperate,Spring,High,64
Sugarcane,Abundant,Rain,Clay,No,"Urea, DAP, Potash",Tropical,Spring,Medium,72
Barley,Medium,Other,Sandy,No,Potash,Temperate,Spring,Low,40
Barley,Medium,Other,Sandy,Yes,Compost,Temperate,Spring,Low,34
Soybean,Medium,Bore,Loamy,No,None,Temperate,Summer,Medium,71
Turmeric,Abundant,Bore,Clay,No,"DAP, Compost",Tropical,Autumn,High,24
Maize,Medium,Rain,Loamy,No,None,Dry,Spring,Medium,66
Cotton,Abundant,Other,Saline,Yes,Urea,Dry,Summer,Medium,85
Wheat,Medium,Rain,Loamy,No,"Urea, Potash",Temperate,Autumn,Medium,88
Grape,Medium,Other,Loamy,Yes,Potash,Temperate,Summer,Low,69
Millet,Less/No Rain,Rain,Loamy,Yes,Urea,Dry,Summer,Low,22
Sugarcane,Abundant,Other,Loamy,No,"Urea, DAP, Potash",Tropical,Summer,High,95
Grape,Medium,Bore,Loamy,No,Potash,Tropical,Spring,Medium,33
Turmeric,Abundant,Rain,Loamy,No,"Urea, Potash",Tropical,Autumn,High,38
Maize,Less/No Rain,Bore,Sandy,No,Urea,Temperate,Summer,Medium,64
Sugarcane,Abundant,Bore,Clay,No,Compost,Tropical,Summer,Low,94
Wheat,Medium,Bore,Sandy,Yes,"DAP, Compost",Temperate,Autumn,Medium,78
Mango,Abundant,Rain,Loamy,Yes,DAP,Tropical,Summer,Low,34
Rice,Abundant,Other,Silt,No,Compost,Tropical,Summer,Medium,98
Turmeric,Abundant,Other,Clay,Yes,Potash,Tropical,Summer,High,96
Soybean,Medium,Other,Loamy,Yes,Urea,Temperate,Summer,Low,23
Mango,Abundant,Rain,Sandy,No,"DAP, Compost",Tropical,Summer,Low,53
Soybean,Medium,Bore,Sandy,Yes,Potash,Tropical,Summer,High,86
Wheat,Medium,Rain,Sandy,Yes,Urea,Temperate,Spring,Medium,39
Maize,Medium,Other,Sandy,Yes,Urea,Dry,Spring,Low,28
Cotton,Abundant,Bore,Sandy,No,Compost,Tropical,Summer,Low,97
Turmeric,Abundant,Other,Loamy,Yes,None,Tropical,Summer,High,32
Wheat,Medium,Rain,Sandy,Yes,Potash,Temperate,Spring,Medium,91
Mango,Abundant,Rain,Loamy,Yes,"Urea, Potash",Tropical,Spring,High,70
Sugarcane,Abundant,Bore,Clay,No,DAP,Tropical,Summer,Low,62
Soybean,Medium,Other,Loamy,No,"DAP, Compost",Tropical,Summer,High,56
Cotton,Abundant,Rain,Saline,No,Potash,Dry,Summer,High,23
Wheat,Medium,Other,Loamy,Yes,Urea,Temperate,Spring,Low,63
Sugarcane,Abundant,Rain,Loamy,No,Potash,Tropical,Spring,Medium,90
Sugarcane,Abundant,Bore,Clay,Yes,"Urea, DAP, Potash",Tropical,Summer,Medium,42
Rice,Abundant,Bore,Silt,Yes,"Urea, DAP, Potash",Tropical,Summer,High,21
Grape,Medium,Bore,Loamy,No,"DAP, Compost",Tropical,Summer,Medium,52
Maize,Less/No Rain,Other,Loamy,No,"Urea, Potash",Dry,Spring,High,39
Rice,Abundant,Rain,Silt,No,Potash,Tropical,Summer,Low,46
Soybean,Medium,Bore,Loamy,No,"Urea, Potash",Temperate,Summer,Low,45
Rice,Abundant,Rain,Silt,No,DAP,Tropical,Summer,Medium,72
Rice,Abundant,Rain,Clay,No,None,Tropical,Summer,Medium,23
Grape,Medium,Other,Loamy,Yes,Compost,Tropical,Spring,High,63
Turmeric,Abundant,Rain,Clay,Yes,None,Tropical,Summer,Low,47
Maize,Less/No Rain,Rain,Loamy,No,None,Temperate,Spring,High,89
Sugarcane,Abundant,Other,Clay,Yes,None,Tropical,Summer,Medium,30
Mango,Abundant,Rain,Sandy,Yes,DAP,Tropical,Summer,High,99
Rice,Abundant,Rain,Silt,Yes,None,Tropical,Summer,High,65
Rice,Abundant,Bore,Clay,Yes,DAP,Tropical,Summer,Low,37
Mango,Abundant,Other,Loamy,No,"Urea, Potash",Tropical,Summer,Medium,88
Millet,Less/No Rain,Bore,Loamy,No,Urea,Dry,Summer,Low,38
Soybean,Medium,Bore,Sandy,Yes,Potash,Tropical,Spring,High,35
Barley,Medium,Bore,Sandy,No,Compost,Temperate,Spring,Low,81
Wheat,Medium,Rain,Sandy,No,"DAP, Compost",Temperate,Spring,Medium,67
Turmeric,Abundant,Rain,Loamy,Yes,DAP,Tropical,Summer,High,73
Rice,Abundant,Bore,Clay,Yes,DAP,Tropical,Summer,Medium,78
Wheat,Medium,Bore,Sandy,No,DAP,Temperate,Autumn,Low,85
Millet,Less/No Rain,Bore,Loamy,Yes,"Urea, DAP, Potash",Dry,Summer,Low,30
Sugarcane,Abundant,Rain,Loamy,Yes,"Urea, DAP, Potash",Tropical,Spring,Low,71
Millet,Less/No Rain,Rain,Sandy,Yes,None,Dry,Summer,High,53
Barley,Medium,Other,Loamy,Yes,"Urea, Potash",Temperate,Spring,Medium,53
Cotton,Abundant,Other,Saline,Yes,Potash,Tropical,Summer,Medium,62
Grape,Medium,Bore,Sandy,No,DAP,Tropical,Spring,High,83
Rice,Abundant,Other,Clay,No,DAP,Tropical,Summer,Low,84
Soybean,Medium,Bore,Loamy,No,Compost,Tropical,Spring,Medium,54
Millet,Less/No Rain,Rain,Loamy,Yes,Compost,Dry,Summer,Medium,36
Sugarcane,Abundant,Other,Clay,Yes,Compost,Tropical,Spring,High,24
Rice,Abundant,Bore,Clay,Yes,DAP,Tropical,Summer,Low,89
Grape,Medium,Bore,Loamy,No,"Urea, Potash",Tropical,Spring,Low,32
Wheat,Medium,Other,Sandy,Yes,"Urea, Potash",Temperate,Autumn,High,66
Rice,Abundant,Bore,Silt,No,Urea,Tropical,Summer,Low,51
Cotton,Abundant,Other,Saline,No,DAP,Dry,Summer,Medium,29
Rice,Abundant,Bore,Clay,Yes,"Urea, Potash",Tropical,Summer,High,39
Barley,Medium,Bore,Sandy,Yes,Compost,Temperate,Spring,Low,96
Soybean,Medium,Rain,Sandy,No,"Urea, Potash",Temperate,Summer,High,35
Cotton,Abundant,Other,Saline,Yes,"Urea, DAP, Potash",Tropical,Summer,Medium,57
Cotton,Abundant,Rain,Saline,Yes,Urea,Dry,Summer,Low,31
Turmeric,Abundant,Bore,Loamy,Yes,Compost,Tropical,Summer,Low,31
Turmeric,Abundant,Other,Clay,No,Urea,Tropical,Autumn,Low,93
Maize,Medium,Bore,Loamy,Yes,"DAP, Compost",Dry,Spring,High,53
Turmeric,Abundant,Bore,Loamy,Yes,Compost,Tropical,Summer,Medium,40
Millet,Less/No Rain,Rain,Sandy,Yes,"Urea, DAP, Potash",Dry,Summer,Medium,56
Wheat,Medium,Bore,Loamy,No,Compost,Temperate,Spring,Low,85
Turmeric,Abundant,Rain,Loamy,No,"DAP, Compost",Tropical,Summer,Medium,48
Grape,Medium,Bore,Sandy,Yes,"Urea, DAP, Potash",Temperate,Summer,High,39
Sugarcane,Abundant,Rain,Clay,Yes,"DAP, Compost",Tropical,Summer,High,59
Cotton,Abundant,Bore,Saline,No,DAP,Dry,Summer,High,89
Maize,Medium,Bore,Sandy,Yes,None,Dry,Summer,High,98
Turmeric,Abundant,Rain,Clay,Yes,None,Tropical,Summer,Medium,62
Sugarcane,Abundant,Other,Clay,Yes,Compost,Tropical,Summer,High,78
Grape,Medium,Bore,Sandy,Yes,DAP,Temperate,Summer,Medium,45
Rice,Abundant,Other,Clay,Yes,"DAP, Compost",Tropical,Summer,Medium,94
Maize,Medium,Rain,Sandy,No,"Urea, Potash",Dry,Summer,High,85
Sugarcane,Abundant,Other,Loamy,No,Urea,Tropical,Summer,Low,57
Grape,Medium,Rain,Loamy,No,Urea,Tropical,Spring,Low,45
Grape,Medium,Other,Loamy,Yes,DAP,Tropical,Summer,High,44
Turmeric,Abundant,Rain,Loamy,Yes,"Urea, DAP, Potash",Tropical,Autumn,Low,77
Sugarcane,Abundant,Other,Loamy,Yes,"Urea, Potash",Tropical,Spring,Low,51
Grape,Medium,Bore,Sandy,No,Potash,Tropical,Summer,Low,43
Mango,Abundant,Rain,Sandy,No,Compost,Tropical,Summer,Medium,29
Cotton,Abundant,Other,Sandy,No,Compost,Dry,Summer,Low,83
Mango,Abundant,Rain,Sandy,No,Potash,Tropical,Spring,Low,74
Cotton,Abundant,Bore,Saline,No,"Urea, Potash",Dry,Summer,High,81
Sugarcane,Abundant,Bore,Clay,Yes,"Urea, DAP, Potash",Tropical,Summer,Medium,66
Soybean,Medium,Rain,Loamy,Yes,Urea,Tropical,Spring,Low,98
Turmeric,Abundant,Other,Clay,No,None,Tropical,Summer,Low,89
Rice,Abundant,Other,Clay,Yes,Potash,Tropical,Summer,Low,31
Millet,Less/No Rain,Bore,Sandy,No,Potash,Dry,Summer,High,76
Wheat,Medium,Rain,Loamy,No,"DAP, Compost",Temperate,Spring,High,96
Grape,Medium,Rain,Sandy,Yes,None,Temperate,Summer,Low,97
Barley,Medium,Other,Sandy,No,Urea,Temperate,Spring,Medium,66
Sugarcane,Abundant,Rain,Clay,Yes,Urea,Tropical,Summer,Low,47
Maize,Less/No Rain,Rain,Loamy,Yes,"Urea, DAP, Potash",Temperate,Spring,Medium,86
Millet,Less/No Rain,Rain,Loamy,Yes,Potash,Dry,Summer,Medium,68
Turmeric,Abundant,Rain,Clay,No,None,Tropical,Autumn,Low,38
Barley,Medium,Other,Loamy,No,Urea,Temperate,Spring,Low,91
Barley,Medium,Other,Sandy,No,None,Temperate,Spring,Low,33
Barley,Medium,Rain,Sandy,No,Potash,Temperate,Spring,High,33
Barley,Medium,Bore,Loamy,No,"Urea, Potash",Temperate,Spring,Low,38
Mango,Abundant,Bore,Loamy,No,"DAP, Compost",Tropical,Spring,Low,57
Millet,Less/No Rain,Other,Loamy,No,DAP,Dry,Summer,Low,67
Barley,Medium,Other,Loamy,No,"Urea, Potash",Temperate,Spring,Low,27
Millet,Less/No Rain,Bore,Loamy,No,"Urea, DAP, Potash",Dry,Summer,High,83
Barley,Medium,Other,Sandy,Yes,Urea,Temperate,Spring,Low,38
Turmeric,Abundant,Rain,Loamy,No,Compost,Tropical,Autumn,Medium,26
Mango,Abundant,Other,Sandy,Yes,None,Tropical,Summer,Medium,53
Millet,Less/No Rain,Bore,Loamy,No,Urea,Dry,Summer,Medium,56
Rice,Abundant,Rain,Clay,No,Compost,Tropical,Summer,Medium,43
Turmeric,Abundant,Other,Clay,Yes,Potash,Tropical,Summer,High,70
Millet,Less/No Rain,Bore,Loamy,Yes,Compost,Dry,Summer,Low,28
Soybean,Medium,Other,Sandy,Yes,Urea,Tropical,Summer,Medium,78
Turmeric,Abundant,Rain,Clay,Yes,None,Tropical,Summer,High,34
Mango,Abundant,Bore,Loamy,No,"Urea, Potash",Tropical,Spring,Medium,64
Rice,Abundant,Other,Silt,Yes,DAP,Tropical,Summer,Low,55
Maize,Less/No Rain,Rain,Sandy,Yes,"Urea, DAP, Potash",Temperate,Spring,Medium,63
Turmeric,Abundant,Rain,Loamy,No,None,Tropical,Summer,Low,23
Maize,Medium,Bore,Sandy,Yes,Potash,Temperate,Summer,Medium,53
Sugarcane,Abundant,Rain,Loamy,Yes,"Urea, Potash",Tropical,Spring,Medium,78
Barley,Medium,Bore,Loamy,Yes,None,Temperate,Spring,Low,70
Cotton,Abundant,Rain,Sandy,Yes,DAP,Tropical,Summer,High,82
Rice,Abundant,Rain,Clay,No,None,Tropical,Summer,Low,59
Wheat,Medium,Bore,Loamy,No,"Urea, Potash",Temperate,Autumn,Medium,26
Wheat,Medium,Rain,Sandy,Yes,Potash,Temperate,Autumn,Medium,86
